,location,total_cases,new_cases,total_deaths,new_deaths,reproduction_rate,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,positive_rate,tests_per_case,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,population,population_density,gdp_per_capita
1,Afghanistan,58588493,174339,2552442,7622,751.69,0,0,0,0,0,0,0,100962135,83108939,64611820,0,13742,253.49,208.63,162.18,0,29518052148,40326.702,1336754.367
3,Albania,70902248,272030,1174101,3478,742.78,1590013,356426111,124063.46,553.443,1589056,124.7264,31083.8,281859929,143609334,117824557,5210491,1415150,9810.89,4998.71,4101.23,181.39,2125971160,77604.54,8734538.94
4,Algeria,83540466,265227,2363443,6853,730.7,0,0,0,0,0,0,0,225241167,128558581,92585670,1297477,170786,504.85,288.13,207.51,2.92,33016303240,12837.52,10296240.86
5,Andorra,7933979,38434,69474,151,715.95,0,13793707,178319.252,0,252844,66.4361,7574.5,2144362,1140078,809079,42031,4802,2772.16,1473.87,1045.96,54.34,56777836,120196.17,0
6,Angola,22264676,98796,525494,1903,654.28,19746,24936639,734.864,0.582,100179,1.4937,3429.7,320459426,205890508,101009921,366014,0,944.4,606.74,297.66,1.08,24296465476,17105.24,4166758.42
7,Anguilla,277279,2555,742,10,0,0,0,0,0,0,0,0,693750,373881,260120,16441,1421,4586.78,2471.97,1719.81,108.69,10708500,0,0
8,Antigua and Barbuda,1119701,7457,27655,135,410.59,0,42231,427.752,0,4580,20.3051,5302.7,6715019,3782437,2870920,0,8412,6801.52,3831.14,2907.9,0,71380344,167623.935,15537951.79
9,Argentina,2097199866,8934328,43271301,126708,766.6,34316870,8631130141,189254.995,752.475,34245452,158.403,7539.1,14302168182,8124347395,5349196765,812815483,82797684,31360.38,17814.29,11729.16,1782.29,36256629285,12860.715,15052456.07
10,Armenia,125069421,421226,2507918,8530,751.09,2911004,728247705,245355.894,980.749,2899943,112.878,9745.7,32883259,18528735,13128379,74444,0,1107.88,624.25,442.33,2.51,2261713536,78433.422,6696135.96
11,Aruba,6947290,33732,60259,213,0,0,0,0,0,0,0,0,35494539,19058732,16435807,0,109232,33112.13,17779.51,15332.64,0,77501985,422810.4,26009043.66
13,Australia,183499459,3391465,805830,5419,794.38,63871746,14955694264,579942.928,2476.781,63608557,17.5978,1484491.4,8403083812,4399158924,3453791629,550133259,54025646,32585.05,17058.85,13392.82,2133.26,19856927090,2465.54,34379506.7
14,Austria,397862606,2839297,5035301,15000,789.02,160281865,29809284463,3296367.045,17724.287,159331561,4.7863,203843.8,542118356,264514441,223375411,65579049,0,5994.84,2925.04,2470.13,725.15,6691873280,78994.26,33623147.64
15,Azerbaijan,194572885,788958,2618743,9500,751.32,1706051,947810862,92710.457,166.877,3308862,36.6667,8002.2,2045217986,990719331,846862834,138182470,10231821,20005.39,9690.68,8283.53,1351.65,7514157840,87692.115,11647852.97
16,Bahamas,8138071,33217,194002,771,665.51,40211,18629226,46935.169,101.309,76048,19.3687,2528.1,7529310,3623017,3091353,114755,9258,1896.99,912.78,778.88,28.91,285778080,28437.84,19956849.84
