,location,date,total_cases,new_cases,total_deaths,new_deaths,reproduction_rate,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,population,population_density,gdp_per_capita
1,Afghanistan,6/17/2021,96531,3243,3842,159,1.19,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,39835428,54.422,1803.987
3,Albania,1/9/2022,219694,4789,3240,7,2.02,4729,1462092,508.919,1.646,4930,0.2553,3.9,tests performed,NA,NA,NA,NA,NA,NA,NA,NA,NA,2872934,104.871,11803.431
4,Algeria,1/25/2022,241406,2521,6516,8,1.63,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,44616626,17.348,13913.839
5,Andorra,1/20/2022,32201,2313,144,2,0.86,NA,NA,NA,NA,1003,0.4703,2.1,tests performed,NA,NA,NA,NA,NA,NA,NA,NA,NA,77354,163.755,NA
6,Angola,12/28/2021,76787,5035,1756,7,2.5,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,33933611,23.89,5819.495
7,Anguilla,1/10/2022,1942,165,6,0,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,15125,NA,NA
8,Antigua and Barbuda,2/10/2022,7321,468,134,3,0.57,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,98728,231.845,21490.943
9,Argentina,1/14/2022,6932972,139853,117901,93,1.35,193362,31190436,683.913,4.24,190497,0.643,1.6,tests performed,82026588,38960914,33714512,9123779,455928,179.86,85.43,73.93,20.01,45605823,16.177,18933.907
10,Armenia,2/3/2022,379266,4388,8065,5,1.61,8857,2764079,931.253,2.984,7702,0.403,2.5,tests performed,NA,NA,NA,NA,NA,NA,NA,NA,NA,2968128,102.931,8787.58
11,Aruba,1/5/2022,24210,1162,181,0,NA,NA,NA,NA,NA,NA,NA,NA,,163956,84884,79072,NA,113,152.95,79.19,73.76,NA,107195,584.8,35973.781
13,Australia,1/12/2022,1398776,175271,2522,57,1.54,288897,57850394,2243.288,11.203,253146,0.4032,2.5,tests performed,45045755,20714403,19967401,4363951,345035,174.68,80.33,77.43,16.92,25788217,3.202,44648.71
14,Austria,2/20/2022,2473099,48357,14581,44,1,368063,155141203,17155.808,40.701,603080,0.047,21.3,tests performed,NA,NA,NA,NA,NA,NA,NA,NA,NA,9043072,106.749,45436.686
15,Azerbaijan,2/9/2022,718145,7779,8948,28,1.26,NA,NA,NA,NA,18613,0.3671,2.7,tests performed,12306245,5255473,4756764,2294008,44505,120.37,51.41,46.53,22.44,10223344,119.309,15847.419
16,Bahamas,1/9/2022,28619,1497,717,0,1.27,NA,194889,491.011,NA,1143,0.4167,2.4,tests performed,NA,NA,NA,NA,NA,NA,NA,NA,NA,396914,39.497,27717.847
17,Bahrain,2/1/2022,382748,8173,1408,0,1.37,NA,NA,NA,NA,25715,0.2457,4.1,units unclear,3359327,1224287,1194409,940631,2310,192.15,70.03,68.32,53.8,1748295,1935.907,43290.705
18,Bangladesh,7/28/2021,1210982,16230,20016,237,1.32,52478,7596935,45.681,0.316,34668,0.3069,3.3,tests performed,10920876,6622525,4298351,NA,447912,6.57,3.98,2.58,NA,166303494,1265.036,3523.984
19,Barbados,1/19/2022,37063,1329,271,0,1.21,NA,NA,NA,NA,NA,NA,NA,,304060,157795,146265,NA,10,105.68,54.85,50.84,NA,287708,664.463,16978.068
20,Belarus,2/13/2022,831966,8921,6253,16,1.28,NA,NA,NA,NA,28467,0.2739,3.7,tests performed,10425997,5460847,4497626,NA,NA,110.41,57.83,47.63,NA,9442867,46.858,17167.967
21,Belgium,1/24/2022,2830719,133480,28835,55,1.34,111342,29579924,2542.905,9.572,117950,0.461,2.2,tests performed,23917482,9106863,8859699,6378149,52847,205.61,78.29,76.16,54.83,11632334,375.564,42658.576
22,Belize,2/1/2022,52004,1517,629,4,0.92,NA,NA,NA,NA,1960,0.2727,3.7,tests performed,NA,NA,NA,NA,NA,NA,NA,NA,NA,404915,16.426,7824.362
23,Benin,9/1/2021,15932,2566,131,3,0.49,NA,NA,NA,NA,NA,NA,NA,,141738,120333,NA,NA,NA,1.14,0.97,NA,NA,12451031,99.11,2064.236
24,Bermuda,1/10/2022,7880,689,110,0,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,62092,1308.82,50669.315
25,Bhutan,2/18/2022,9210,527,5,0,1.33,10443,1634758,2096.112,13.39,12713,0.0252,39.6,samples tested,NA,NA,NA,NA,NA,NA,NA,NA,NA,779900,21.188,8708.597
26,Bolivia,1/16/2022,749070,23611,20238,89,1.16,11411,3385700,286.125,0.964,22722,0.4521,2.2,tests performed,11075652,6416251,4911463,740770,9934,93.6,54.22,41.51,6.26,11832936,10.202,6885.829
27,Bonaire Sint Eustatius and Saba,4/29/2021,1556,1360,15,12,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,26445,NA,NA
28,Bosnia and Herzegovina,1/10/2022,302587,5254,13645,77,1.68,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,3263459,68.496,11713.895
29,Botswana,8/2/2021,115220,8530,1653,84,1.27,NA,1525222,636.241,NA,7759,0.2411,4.1,tests performed,370626,241888,128738,NA,NA,15.46,10.09,5.37,NA,2397240,4.044,15807.374
30,Brazil,2/3/2022,26107894,287149,630301,1000,1.08,NA,NA,NA,NA,73228,NA,NA,tests performed,366488450,171219037,150497414,49796615,1374578,171.26,80.01,70.33,23.27,213993441,25.04,14103.452
